Domain,Volume ID in Gutenberg,Volume ID in HathiTrust,Pubdate in HathiTrust,Volume Title in HathiTrust,Volume Title in Gutenberg,Author
Fiction,48685,chi.28799391,1922,"Spinster of this parish, by W. B. Maxwell.",Spinster of This Parish,"Maxwell, W. B. (William Babington)"
Fiction,48690,mdp.39015088593119,1901,The revolt of man / by Walter Besant.,The Revolt of Man,"Besant, Walter"
Fiction,48699,uc2.ark+=13960=t5z60dt6j,1909,The hungry heart : a novel / David Graham Phillips.,The Hungry Heart: A Novel,"Phillips, David Graham"
Fiction,48773,pst.000046037602,1922,Calvary (a novel) by Octave Mirbeau ... tr. by Louis Rich.,Calvary: A Novel,"Mirbeau, Octave"
Fiction,48806,uc2.ark+=13960=t53f4v089,1904,Fanny Burney (Madame d'Arblay) by Austin Dobson.,Fanny Burney (Madame D'Arblay),"Dobson, Austin"
Fiction,48843,wu.89085241214,1878,Philochristus : memoirs of a disciple of the Lord ...,Philochristus: Memoirs of a Disciple of the Lord,"Abbott, Edwin Abbott"
Fiction,48883,mdp.39015059378433,1940,Sea-gift. A novel. By Edwin W. Fuller.,Sea-gift: A Novel,"Fuller, Edwin W. (Edwin Wiley)"
Fiction,48928,coo1.ark+=13960=t89g66g33,1920,"The green god's pavilion, a novel of the Philippines, by Mabel Wood Martin.",The Green God's Pavilion: A novel of the Philippines,"Martin, Mabel Wood"
Fiction,48963,nyp.33433074929138,1906,"The viper of Milan; a romance of Lombardy, by Marjorie Bowen.",The Viper of Milan: A Romance of Lombardy,"Bowen, Marjorie"
Fiction,48975,hvd.hc4mnb,1922,The gland stealers / by Bertram Gayton.,The Gland Stealers,"Gayton, Bertram"
Fiction,48989,hvd.hn1eqk,1907,"Tinman, by Tom Gallon ...",Tinman,"Gallon, Tom"
Fiction,49075,hvd.hn469g,1875,Alice Lorraine. : A tale of the South Downs / By R. D. Blackmore.,Alice Lorraine: A Tale of the South Downs,"Blackmore, R. D. (Richard Doddridge)"
Fiction,49096,uc2.ark+=13960=t0ht2kw62,1918,The way out / by Emerson Hough.,The Way Out,"Hough, Emerson"
